garbage, -0.3193, 
crap, -0.3177, 
junk, -0.281, 
waste, -0.2809, 
worthless, -0.2792, 
ashamed, -0.2738, 
money, -0.2723, 
piss, -0.2647, 
insult, -0.262, 
trash, -0.2599, 
worst, -0.2583, 
crappy, -0.2518, 
total, -0.2512, 
horrible, -0.2476, 
wast, -0.2472, 
horribly, -0.2427, 
poi, -0.2418, 
disgusted, -0.2407, 
pathetic, -0.2397, 
stupid, -0.2326, 
terrible, -0.2292, 
refund, -0.2242, 
joke, -0.2233, 
worse, -0.2214, 
ridiculous, -0.2214, 
scam, -0.2187, 
nonsense, -0.2155, 
excuse, -0.2147, 
badly, -0.2145, 
ripoff, -0.214, 
awful, -0.2092, 
idiot, -0.2067, 
useless, -0.2057, 
donate, -0.2018, 
ugh, -0.2014, 
lousy, -0.2, 
reimburse, -0.1987, 
utter, -0.1966, 
damn, -0.1961, 
upset, -0.1922, 
waist, -0.192, 
gimmick, -0.19, 
shame, -0.1863, 
defective, -0.1858, 
dumb, -0.1856, 
mad, -0.1849, 
laughable, -0.1822, 
torture, -0.1813, 
pointless, -0.1811, 
retard, -0.1811, 
substandard, -0.1803, 
atrocious, -0.1793, 
refuse, -0.1791, 
moron, -0.1788, 
bother, -0.1786, 
aggravation, -0.1786, 
rude, -0.1782, 
headache, -0.1774, 
embarrassed, -0.1772, 
supposedly, -0.1763, 
angry, -0.1761, 
nerve, -0.1722, 
stink, -0.1719, 
faulty, -0.1702, 
stupidly, -0.1695, 
seriously, -0.1691, 
poorly, -0.1683, 
nope, -0.1683, 
suck, -0.1666, 
recourse, -0.1666, 
sorry, -0.1658, 
lame, -0.1638, 
attempt, -0.1637, 
annoys, -0.1628, 
favor, -0.1621, 
embarrassing, -0.161, 
beware, -0.1607, 
return, -0.16, 
disgust, -0.159, 
shoddy, -0.1585, 
redeem, -0.1575, 
unacceptable, -0.157, 
bad, -0.1566, 
throw, -0.1554, 
unusable, -0.1552, 
unhappy, -0.1548, 
apparently, -0.1541, 
expire, -0.154, 
rubbish, -0.1536, 
horrendous, -0.1535, 
appal, -0.1533, 
mistake, -0.1532, 
shameful, -0.153, 
utterly, -0.1515, 
poor, -0.1512, 
bogus, -0.151, 
spew, -0.1508, 
dissatisfied, -0.1504, 
quit, -0.1498, 
zero, -0.1497, 
barely, -0.1489, 
basically, -0.1481, 
rip, -0.147, 
blame, -0.147, 
dupe, -0.1468, 
buck, -0.1459, 
fool, -0.1453, 
abysmal, -0.1448, 
hell, -0.1447, 
please, -0.1444, 
save, -0.1443, 
cheap, -0.1439, 
dreadful, -0.1428, 
pay, -0.1426, 
frustrate, -0.1423, 
authorize, -0.1419, 
hate, -0.1417, 
chalk, -0.1417, 
absolute, -0.1411, 
whatsoever, -0.1411, 
spend, -0.1409, 
exaggerate, -0.1407, 
dollar, -0.1402, 
receipt, -0.1399, 
suppose, -0.1389, 
call, -0.1388, 
annoyed, -0.138, 
resell, -0.1379, 
request, -0.1378, 
nothing, -0.1366, 
cent, -0.1355, 
wreck, -0.1354, 
jerk, -0.135, 
halfway, -0.135, 
literally, -0.1335, 
miserably, -0.1335, 
cash, -0.1329, 
warn, -0.1326, 
insulting, -0.1326, 
terribly, -0.1324, 
claim, -0.1318, 
loser, -0.1318, 
apologize, -0.1317, 
